Symbol,Close,SMA200,SMA200_dist
ETHUSDT,1297.25,1374.41345,-5.614282223445937
XRPUSDT,0.4872,0.444233,9.672176537987957
SOLUSDT,30.09,32.978849999999994,-8.759705083712728
MATICUSDT,0.7855,0.7964590000000001,-1.3759653667043954
DOGEUSDT,0.05854,0.06101625,-4.058345112982196
LINKUSDT,6.884,7.507410000000001,-8.303929051430528
ATOMUSDT,11.668,13.67972,-14.705856552619501
ETCUSDT,23.37,29.18065,-19.91268186280977
ADAUSDT,0.3653,0.44057700000000005,-17.086003127716616
NEARUSDT,2.98,3.7725400000000002,-21.008127150407955
CHZUSDT,0.1797,0.22306499999999999,-19.440521820993876
APEUSDT,4.498,5.27528,-14.734383767307142
BNBUSDT,269.5,278.5985,-3.2658108353060054
ENSUSDT,19.65,15.4406,27.26189396785098
LINAUSDT,0.00702,0.007721450000000001,-9.08443362321845
AVAXUSDT,15.7,17.45375,-10.047983957602236
SUSHIUSDT,1.371,1.16265,17.920268352470654
SANDUSDT,0.7524,0.8519595,-11.685942817704365
DOTUSDT,6.04,6.519449999999999,-7.354147972605038
UNIUSDT,6.19,6.189500000000001,0.008078196946437076
INJUSDT,1.769,1.71917,2.89849171402478
RSRUSDT,0.00605,0.0072875,-16.9811320754717
OPUSDT,0.713,0.9379149999999999,-23.980318045878356
LTCUSDT,51.23,54.3723,-5.779229497372754
CRVUSDT,0.804,0.93754,-14.243658937218678
LDOUSDT,1.296,1.6262450000000002,-20.30721078312309
GMTUSDT,0.5757,0.6434399999999999,-10.527788138754184
AXSUSDT,10.83,12.5605,-13.777317781935427
BCHUSDT,107.4,116.833,-8.073917471947132
EGLDUSDT,53.53,50.6596,5.6660534232406174
HNTUSDT,4.67,4.7607,-1.9051820110487954
EOSUSDT,1.01,1.23906,-18.48659467660969
GALAUSDT,0.03638,0.042441799999999995,-14.28261760811274
FTMUSDT,0.2005,0.229326,-12.569878687981298
LITUSDT,0.66,0.6892649999999999,-4.245827076668608
AAVEUSDT,72.6,77.0345,-5.7565116928129605
ALGOUSDT,0.3151,0.33762299999999995,-6.67105025427769
FILUSDT,5.03,5.5954,-10.104728884440782
UNFIUSDT,5.348,6.422485,-16.73005075138362
XLMUSDT,0.1125,0.11535950000000002,-2.478772879563464
KNCUSDT,0.927,1.3188499999999999,-29.71149107176706
RUNEUSDT,1.45,1.6349799999999999,-11.313899864218518
GLMRUSDT,0.4278,0.476059,-10.137188877849173
COTIUSDT,0.0959,0.1046015,-8.318714358780706
TRXUSDT,0.06378,0.0613109,4.027179506417296
SLPUSDT,0.00322,0.0034214,-5.8864792190331325
MANAUSDT,0.6245,0.7055849999999999,-11.491882622221258
THETAUSDT,0.987,1.076015,-8.272654191623719
KAVAUSDT,1.375,1.527595,-9.989231438961244
ICPUSDT,4.95,5.9987,-17.48212112624402
FLMUSDT,0.1025,0.1096715,-6.53907350587893
RENUSDT,0.111,0.11670599999999999,-4.8892087810395255
TRBUSDT,15.08,15.4331,-2.2879395584814426
DYDXUSDT,1.533,1.320795,16.066459972970822
MKRUSDT,900.0,762.025,18.106361339851055
SNXUSDT,2.073,2.39733,-13.528800790879863
WAVESUSDT,3.282,3.932355,-16.538562769638038
CVXUSDT,5.422,5.078335,6.767277070142078
MTLUSDT,0.958,1.081315,-11.404169922732974
ZILUSDT,0.03,0.03228955,-7.090684137747355
XTZUSDT,1.358,1.4636349999999998,-7.217304860843019
AGLDUSDT,0.303,0.33342,-9.123627856757244
ZECUSDT,49.8,56.0485,-11.14838042052865
HBARUSDT,0.0611,0.06016199999999999,1.5591236993451154
RVNUSDT,0.0305,0.040815000000000004,-25.272571358569163
FLOWUSDT,1.469,1.704325,-13.80751910580435
VETUSDT,0.0228,0.023252250000000002,-1.9449730671225418
SUNUSDT,0.0083,0.00573785,44.6534851904459
DODOUSDT,0.1171,0.126681,-7.5630915449041245
GALUSDT,2.258,2.6012299999999997,-13.194911637955881
ENJUSDT,0.4182,0.46740449999999995,-10.527177209462026
XMRUSDT,140.3,145.5595,-3.613299028919447
KDAUSDT,1.266,1.4339749999999998,-11.71394201433078
FTTUSDT,23.43,24.32535,-3.6807281292972163
COMPUSDT,54.1,57.998400000000004,-6.7215647328202195
ALICEUSDT,1.52,1.7812800000000002,-14.668103835444182
1INCHUSDT,0.556,0.59483,-6.527915538893453
DASHUSDT,40.11,42.340900000000005,-5.2689007555342595
STGUSDT,0.4693,0.535833,-12.416741783354142
KSMUSDT,39.54,42.97639999999999,-7.99601641831329
LRCUSDT,0.2542,0.30132549999999997,-15.63939991802884
RNDRUSDT,0.407,0.4706,-13.514662133446672
ONEUSDT,0.01757,0.0195991,-10.353026414478228
IOSTUSDT,0.01122,0.01202885,-6.724250447881549
STORJUSDT,0.4043,0.4660855,-13.256258776554944
SFPUSDT,0.3514,0.3638815,-3.4301001837136633
IOSTUSDT,0.01122,0.01202885,-6.724250447881549
SFPUSDT,0.3514,0.3638815,-3.4301001837136633
STORJUSDT,0.4043,0.4660855,-13.256258776554944
BLZUSDT,0.075,0.0831425,-9.793426947710254
SRMUSDT,0.711,0.77372,-8.106291681745335
REEFUSDT,0.006061,0.0051641000000000005,17.367982804360874
AUDIOUSDT,0.18,0.220135,-18.231994003679564
YFIUSDT,7546.0,8383.98,-9.99501430108373
BNXUSDT,154.2,155.82,-1.039661147477862
IOTAUSDT,0.2481,0.2746605,-9.670302063820605
PEOPLEUSDT,0.01952,0.021901,-10.871649696360903
ARUSDT,9.65,9.5485,1.0629941875687248
BELUSDT,0.519,0.58275,-10.939510939510935
C98USDT,0.324,0.37344700000000003,-13.240700822338916
NEOUSDT,7.72,8.63235,-10.568964418727239
CHRUSDT,0.139,0.1552325,-10.456895302207968
WOOUSDT,0.1531,0.14309249999999998,6.993727833394504
GRTUSDT,0.0855,0.1004275,-14.863956585596572
DARUSDT,0.19132,0.2114153,-9.505130423389419
BAKEUSDT,0.2178,0.2365935,-7.943371225329527
BALUSDT,4.86,5.497895000000001,-11.602531514334128
ANKRUSDT,0.02676,0.031017950000000002,-13.727373988287436
SXPUSDT,0.3084,0.3467955,-11.071510443474605
XEMUSDT,0.0379,0.04104349999999999,-7.65894721454064
OMGUSDT,1.55,1.72121,-9.94707211787056
API3USDT,1.529,1.633605,-6.403322712650859
MASKUSDT,1.041,1.191195,-12.608766826590113
LPTUSDT,8.4,9.28365,-9.518346770935993
TLMUSDT,0.02057,0.02280045,-9.782482363286682
YGGUSDT,0.3052,0.37879399999999996,-19.428502035407096
AKROUSDT,0.00334,0.0038597500000000003,-13.46589805039187
ALPHAUSDT,0.1077,0.112926,-4.627809361882998
BSWUSDT,0.2354,0.2740005,-14.08774801505836
HOTUSDT,0.001965,0.00204095,-3.7213062544403326
IOTXUSDT,0.02609,0.028454999999999998,-8.311368827973991
BATUSDT,0.2893,0.306483,-5.606509985871974
DUSKUSDT,0.116,0.12060850000000001,-3.821040805581697
CELRUSDT,0.01388,0.015561,-10.80264764475291
QTUMUSDT,2.624,2.885605,-9.065863137886158
CELOUSDT,0.754,0.785255,-3.980235719607011
ICXUSDT,0.2144,0.24270350000000002,-11.661760131188883
ASTRUSDT,0.0344,0.0379365,-9.322156761957476
BANDUSDT,1.051,1.20447,-12.741703819937399
CTSIUSDT,0.1301,0.142416,-8.647904729805637
CTKUSDT,0.821,0.886295,-7.36718586926476
PAXGUSDT,1635.0,1667.815,-1.9675443619346304
ZENUSDT,12.3,13.999500000000001,-12.13971927568842
ROSEUSDT,0.05399,0.059682950000000005,-9.538653836648493
OGNUSDT,0.1359,0.1502735,-9.564893344468594
IMXUSDT,0.63,0.75835,-16.92490274939012
ACHUSDT,0.01391,0.011770850000000001,18.173284002429725
ANTUSDT,1.531,1.6828800000000002,-9.02500475375548
REQUSDT,0.0939,0.106334,-11.693343615400531
SKLUSDT,0.03359,0.039370949999999995,-14.683288058835242
CVCUSDT,0.1147,0.1304645,-12.083363673643031
ZRXUSDT,0.2431,0.272291,-10.720515918631168
TOMOUSDT,0.3862,0.45031400000000005,-14.237620860110955
ONTUSDT,0.2055,0.22447150000000002,-8.451629716912851
ARPAUSDT,0.03137,0.0341857,-8.236484846002853
FXSUSDT,5.052,4.845255,4.266958085797336
ILVUSDT,54.4,58.8975,-7.636147544462841
DENTUSDT,0.000842,0.0009358000000000001,-10.023509296858315
JSTUSDT,0.02893,0.0258056,12.10744954583501
OCEANUSDT,0.1456,0.1584025,-8.082258802733538
SCRTUSDT,0.904,0.9754,-7.320073815870414
GTCUSDT,1.582,1.846645,-14.331124823666705
SPELLUSDT,0.0008825,0.001061361,-16.85204185946158
KLAYUSDT,0.1435,0.1951445,-26.464747917568783
STMXUSDT,0.006486,0.007224435,-10.221352950092303
JASMYUSDT,0.005106,0.006974635,-26.791867961549237
XNOUSDT,0.739,0.798515,-7.453210021101668
STXUSDT,0.301,0.331555,-9.215665575847144
RAYUSDT,0.477,0.57011,-16.3319359421866
MINAUSDT,0.526,0.591905,-11.134388119715155
CKBUSDT,0.0037,0.0038508,-3.916069388179079
DGBUSDT,0.00854,0.0094856,-9.96879480475668
SCUSDT,0.00325,0.00356155,-8.747595850121444
BICOUSDT,0.37,0.42534,-13.010767856303193
